,score,bollinger_up_diff_ratio,bollinger_down_diff_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,current_high_price_ratio,current_low_price_ratio,result
0,59,2.16,23.55,0.51,6.87,3.22,3.65,-3.65,long
1,59,0.7,34.45,0.44,9.07,4.56,4.87,-0.38,long
2,59,14.63,56.48,0.08,36.27,11.94,15.11,2.04,long
3,59,19.81,74.26,0.49,56.51,18.0,22.04,0.7,long
4,59,27.2,95.12,0.16,59.82,16.63,20.94,1.34,long
5,59,5.2,125.87,0.66,41.49,15.36,19.17,4.19,long
6,17,11.35,125.59,0.33,39.82,-13.57,3.42,15.72,short
7,-29,33.01,132.12,0.78,16.21,-7.76,1.05,8.51,short
8,-45,60.13,133.81,0.2,18.55,-9.83,3.16,13.48,long
9,-47,60.03,123.02,0.68,25.07,-10.4,6.97,11.79,long
10,-45,62.47,104.2,0.96,5.85,-2.83,0.54,3.55,long
11,59,47.01,89.03,0.37,9.21,4.66,5.05,0.57,long
12,59,32.84,82.03,0.14,12.46,5.33,6.15,2.67,long
13,59,19.77,67.24,0.59,10.29,5.1,5.7,-0.39,long
14,17,2.79,65.46,0.11,19.98,-7.82,2.58,9.03,long
15,59,10.15,69.57,0.55,49.09,16.75,20.58,-0.41,long
16,31,15.62,78.27,0.41,36.36,-13.0,1.67,15.42,long
17,59,1.21,78.02,0.42,19.21,9.76,11.07,10.31,long
18,-23,7.69,84.15,0.63,20.92,-10.17,9.7,15.45,long
19,-13,57.63,76.18,0.21,26.69,14.47,17.11,1.23,short
20,-55,45.35,76.01,0.58,23.21,-9.57,5.42,10.61,short
21,-9,82.98,65.75,0.28,28.92,15.45,19.54,8.67,long
22,59,46.65,67.95,0.42,43.09,14.7,17.3,4.66,short
23,-11,29.41,68.3,0.43,25.78,-10.11,0.35,12.33,long
24,55,41.99,59.43,0.3,13.23,6.79,7.39,0.47,short
25,-59,47.82,39.86,0.74,9.56,-4.67,0.69,4.93,short
26,-59,74.73,23.79,0.52,42.6,-15.01,3.58,17.69,long
27,-59,104.84,14.98,0.66,13.19,-6.46,2.31,7.06,short
28,11,131.81,12.4,0.66,30.76,14.66,18.63,3.58,long
29,-59,93.1,30.49,0.27,26.63,-10.03,3.76,11.45,long
30,-59,89.88,32.74,0.78,8.81,-4.14,-0.29,4.52,short
31,9,87.66,26.78,0.29,7.5,3.81,4.07,2.5,short
32,-59,90.32,21.0,0.53,14.32,-7.13,2.02,7.84,long
33,-3,88.39,24.29,0.96,8.13,3.92,4.44,2.58,long
34,47,70.97,31.41,0.35,12.08,5.3,6.27,0.16,long
35,59,50.34,39.95,0.4,22.53,9.02,10.16,4.84,long
36,1,28.99,40.4,0.65,15.26,-7.46,-0.33,8.88,long
37,25,19.93,27.1,0.98,2.84,1.4,1.47,0.47,short
38,-59,26.46,14.67,0.24,14.21,-7.38,2.86,8.09,long
39,-7,28.66,13.35,0.88,14.0,6.65,7.39,4.14,short
