score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,current_high_price_ratio,current_low_price_ratio,today_open_price,current_price,result
59,9.38,25.14,0.85,6.7,3.21,3.42,-0.49,31.93,33.03,LONG
5,4.63,29.34,0.28,8.71,-3.94,0.73,-4.11,33.95,32.55,LONG
59,8.18,26.68,0.65,6.87,3.4,3.57,-2.03,33.13,34.32,LONG
59,2.09,30.11,0.32,10.76,4.77,5.21,-0.47,35.59,37.45,LONG
31,4.98,44.27,0.74,11.45,-5.27,1.58,-5.56,42.66,40.29,LONG
-23,6.81,38.83,0.53,10.31,-5.14,0.95,-5.51,39.98,37.78,LONG
29,19.73,25.2,0.25,9.28,4.75,5.32,-1.77,36.31,38.24,SHORT
-59,23.72,22.08,0.84,19.61,-9.2,2.2,-10.38,35.16,31.51,LONG
-59,22.71,19.95,0.99,16.94,-7.79,0.08,-8.46,35.26,32.28,SHORT
-31,38.18,9.5,0.07,12.26,6.46,6.94,-1.08,31.28,33.45,SHORT
-3,36.35,11.1,0.87,11.6,5.41,6.15,-0.95,31.73,33.68,LONG
55,23.01,19.74,0.12,12.37,5.28,5.65,-1.76,35.18,37.17,SHORT
7,17.31,21.81,0.48,9.11,-4.17,2.68,-4.49,36.87,35.21,LONG
59,18.28,18.48,0.93,6.75,3.25,3.42,-1.72,36.5,37.74,LONG
59,13.08,20.42,0.44,8.27,3.8,4.04,-1.38,38.17,39.72,LONG
31,5.73,26.01,0.17,10.02,-4.42,0.44,-4.96,41.33,39.28,LONG
59,10.84,21.32,0.36,6.74,3.4,3.69,-0.57,39.53,40.99,LONG
3,5.34,26.05,0.27,8.93,-4.02,0.82,-5.26,42.15,39.93,LONG
59,0.54,32.68,0.68,25.34,10.49,11.82,-1.19,45.57,50.95,SHORT
31,5.17,40.54,0.35,13.91,-5.99,0.32,-6.64,49.71,46.41,LONG
59,1.94,38.38,0.45,9.29,4.67,5.15,-2.99,47.21,49.64,SHORT
-17,4.69,42.4,0.86,7.62,-3.71,0.11,-5.44,48.74,46.09,LONG
-11,1.29,47.08,0.45,13.4,-5.87,1.29,-6.45,52.36,48.98,SHORT
-41,11.71,42.44,0.43,9.38,-4.26,2.05,-4.55,48.88,46.66,SHORT
13,26.18,31.81,0.72,14.46,6.49,6.98,-0.77,43.32,46.34,LONG
-41,16.76,33.02,0.33,11.51,-5.07,2.55,-5.38,46.66,44.15,SHORT
-59,29.44,20.64,0.27,14.97,-7.76,7.65,-8.48,41.53,38.01,LONG
-59,31.16,16.78,0.88,16.23,-7.65,-0.15,-8.39,40.71,37.3,SHORT
-17,43.37,8.79,0.38,13.89,7.06,7.8,-1.13,37.22,40.12,LONG
-59,24.44,18.19,0.33,21.66,-8.64,2.12,-9.47,42.64,38.6,SHORT
-59,82.21,1.25,0.58,40.54,-14.79,4.19,-17.89,30.67,25.18,LONG
-59,151.94,4.12,0.43,15.63,-7.9,4.43,-9.04,23.3,21.2,SHORT
-17,202.83,3.9,0.63,40.32,19.14,23.92,-0.43,19.85,24.6,LONG
35,113.84,35.63,0.72,15.06,6.74,7.49,-2.38,27.54,29.6,LONG
13,70.01,48.81,0.13,27.02,-9.85,0.94,-11.1,34.04,30.26,LONG
-15,77.67,45.95,0.57,15.71,-7.77,1.31,-8.48,31.74,29.05,SHORT
-59,96.94,40.54,0.28,16.96,-8.81,6.64,-9.89,27.87,25.11,LONG
-5,106.45,35.42,0.55,20.2,9.99,11.44,-6.18,25.37,28.27,SHORT
49,89.48,40.16,0.74,21.82,9.36,10.45,-4.45,26.79,29.59,LONG
59,48.81,44.04,0.98,8.35,4.01,4.21,-1.72,30.65,31.94,LONG
3,33.44,42.96,0.46,9.25,-4.22,-0.11,-5.22,32.19,30.51,SHORT
-59,42.93,34.7,0.34,15.84,-8.12,4.73,-9.15,28.84,26.2,LONG
-9,38.75,29.22,0.73,5.41,2.59,2.72,-1.19,27.55,28.3,SHORT
-59,42.01,14.44,0.34,16.25,-8.35,2.01,-9.28,24.57,22.29,LONG
