,score,bollinger_up_diff_ratio,bollinger_down_diff_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,current_high_price_ratio,current_low_price_ratio,result
0,17,0.77,37.65,0.79,7.24,-3.55,2.7,3.87,long
1,59,6.03,35.25,0.6,7.8,3.87,4.1,-0.08,long
2,59,0.01,40.62,0.21,12.08,5.23,5.55,0.13,short
3,17,0.29,43.69,0.73,9.1,-4.25,3.89,4.86,long
4,59,2.62,48.26,0.57,18.31,7.82,8.66,-0.94,short
5,-17,2.84,46.11,0.8,12.67,-6.1,1.11,7.06,short
6,-59,19.83,33.87,0.62,11.62,-5.73,0.45,6.23,long
7,27,21.44,28.19,0.89,10.03,4.83,5.18,2.41,short
8,-59,23.88,24.86,0.89,19.51,-9.06,1.71,10.65,long
9,-31,36.48,10.07,0.22,8.8,4.51,4.84,1.56,short
10,-3,36.99,9.48,0.96,11.16,5.31,5.64,1.16,long
11,49,23.95,17.66,0.13,12.14,5.21,5.53,1.4,short
12,7,17.74,19.67,0.37,7.94,-3.64,2.55,3.78,long
13,-1,18.05,17.79,0.93,7.23,-3.51,1.6,3.69,long
14,59,18.84,14.7,0.77,5.55,2.73,2.82,1.01,long
15,31,10.52,20.79,0.57,4.74,-2.27,0.24,2.43,short
16,59,13.95,17.71,0.38,4.54,2.28,2.56,0.1,long
17,17,5.15,25.21,0.18,11.66,-5.05,1.16,5.49,long
18,59,3.02,28.37,0.82,19.72,8.69,9.92,1.22,long
19,31,6.82,41.68,0.15,19.69,-7.77,2.52,9.23,long
20,-11,4.16,44.09,0.89,6.56,-3.16,1.1,3.64,long
21,-11,1.83,51.65,0.27,16.09,-6.72,6.27,8.48,long
22,-23,6.74,50.28,0.46,9.54,-4.34,4.24,4.95,short
23,-59,23.7,35.42,0.72,9.92,-4.61,1.76,4.92,short
24,1,33.1,25.74,0.28,11.21,5.75,6.12,0.41,short
25,-59,34.31,22.18,0.9,14.73,-6.96,0.03,7.73,long
26,-17,40.56,17.05,0.6,11.8,5.83,6.26,0.71,short
27,-59,33.89,18.73,0.68,14.02,-6.29,1.89,7.08,short
28,-59,95.64,1.64,0.58,31.48,-12.21,3.96,14.24,short
29,-59,154.81,0.3,0.54,12.76,-6.35,3.99,6.88,short
30,-17,209.88,0.64,0.54,34.63,17.06,20.75,1.85,long
31,29,137.7,35.45,0.95,14.81,6.95,7.52,2.33,long
32,-13,115.49,43.94,0.39,13.4,-5.83,1.67,6.28,long
33,-47,116.42,46.12,0.84,14.23,-6.79,2.16,7.33,short
34,-59,131.83,45.21,0.5,17.5,-8.75,6.37,9.63,long
35,1,138.57,42.33,0.57,17.55,8.67,9.72,5.05,short
36,45,119.52,45.76,0.75,15.86,7.09,7.78,3.91,long
37,55,71.44,45.83,0.68,7.17,3.38,3.76,2.72,short
38,-3,55.01,43.62,0.6,8.41,-3.91,-0.08,4.32,short
39,17,38.75,26.95,0.56,4.56,2.18,2.49,0.73,short
40,-59,29.68,6.96,0.34,12.52,-6.39,1.46,6.87,long
41,11,30.55,7.74,0.94,12.07,5.73,6.51,5.12,long
